# wlstart: 490.0
# wlend: 1000.0
# countthresh: 10000
# aqpixstart: 46
# aqpixend: 963
#  wavelenth in nm 	 intensity in counts
6.880639999999999645e+02	3.056029568256578841e+02
6.886219999999999573e+02	3.134211936677631911e+02
6.891799999999999500e+02	3.200420620888157828e+02
6.897380000000000564e+02	3.248208252467105126e+02
6.902960000000000491e+02	3.323101147203947221e+02
6.908540000000000418e+02	3.353169480537280265e+02
6.914109999999999445e+02	3.393500927905701587e+02
6.919690000000000509e+02	3.434314875274122869e+02
6.925270000000000437e+02	3.415435840186403311e+02
6.930850000000000364e+02	3.394319962993420745e+02
6.936430000000000291e+02	3.314739173519736823e+02
6.942010000000000218e+02	3.193096980537280842e+02
6.947590000000000146e+02	3.017288120888157437e+02
6.953170000000000073e+02	2.851917857730263108e+02
6.958750000000000000e+02	2.626898471765350678e+02
6.964329999999999927e+02	2.466659787554824845e+02
6.969909999999999854e+02	2.323657945449561453e+02
6.975489999999999782e+02	2.207761366502192857e+02
6.981059999999999945e+02	2.170592813870613895e+02
6.986639999999999873e+02	2.146494480537280936e+02
6.992219999999999800e+02	2.181825971765350971e+02
6.997799999999999727e+02	2.209657462993421007e+02
7.003379999999999654e+02	2.274506498081140364e+02
7.008959999999999582e+02	2.332250270010964925e+02
7.014529999999999745e+02	2.388195752467105422e+02
7.020109999999999673e+02	2.385764085800438465e+02
7.025689999999999600e+02	2.378595577028508785e+02
7.031269999999999527e+02	2.340242857730263211e+02
7.036849999999999454e+02	2.308381366502192975e+02
7.042419999999999618e+02	2.267704041940789352e+02
7.047999999999999545e+02	2.232772375274122965e+02
7.053579999999999472e+02	2.206656498081140398e+02
7.059160000000000537e+02	2.163523077028508794e+02
7.064729999999999563e+02	2.157977331414473667e+02
7.070309999999999491e+02	2.173703559484649190e+02
7.075890000000000555e+02	2.209078910361841963e+02
7.081470000000000482e+02	2.297875313870613923e+02
7.087039999999999509e+02	2.389873427905701533e+02
7.092619999999999436e+02	2.508713691063596514e+02
7.098200000000000500e+02	2.653957462993420791e+02
7.103769999999999527e+02	2.836481892817982384e+02
7.109349999999999454e+02	3.027558998081140089e+02
7.114930000000000518e+02	3.219557155975877549e+02
7.120499999999999545e+02	3.402169305098684617e+02
7.126079999999999472e+02	3.625088515625000127e+02
7.131660000000000537e+02	3.805551585800438374e+02
7.137229999999999563e+02	4.022330401589912299e+02
7.142809999999999491e+02	4.191696980537280979e+02
7.148390000000000555e+02	4.384528471765351014e+02
7.153959999999999582e+02	4.542710796326754803e+02
7.159539999999999509e+02	4.699796673519736601e+02
7.165109999999999673e+02	4.852452682291666406e+02
7.170689999999999600e+02	4.973222770010964950e+02
7.176259999999999764e+02	5.060089305098684349e+02
7.181839999999999691e+02	5.165420796326754953e+02
7.187419999999999618e+02	5.252111936677631547e+02
7.192989999999999782e+02	5.312969699835525716e+02
7.198569999999999709e+02	5.350888910361842363e+02
7.204139999999999873e+02	5.383632638432018211e+02
7.209719999999999800e+02	5.360630796326754535e+02
7.215289999999999964e+02	5.368067506853070654e+02
7.220869999999999891e+02	5.346030577028508333e+02
7.226440000000000055e+02	5.317458515624999791e+02
7.232019999999999982e+02	5.264149655975877522e+02
7.237590000000000146e+02	5.226235489309210607e+02
7.243170000000000073e+02	5.156172243695175439e+02
7.248740000000000236e+02	5.097994919133771532e+02
7.254310000000000400e+02	5.081045664747807109e+02
7.259890000000000327e+02	5.055105226151316060e+02
7.265460000000000491e+02	5.043726147203947221e+02
7.271040000000000418e+02	5.069189217379385468e+02
7.276609999999999445e+02	5.101889085800438011e+02
7.282190000000000509e+02	5.147966191063596852e+02
7.287759999999999536e+02	5.269087112116227445e+02
7.293329999999999700e+02	5.376348384046052615e+02
7.298909999999999627e+02	5.479311454221491431e+02
7.304479999999999791e+02	5.609204305098684245e+02
7.310049999999999955e+02	5.691684875274122533e+02
7.315629999999999882e+02	5.773726892817982161e+02
7.321200000000000045e+02	5.853795182291665924e+02
7.326770000000000209e+02	5.916582770010965078e+02
7.332350000000000136e+02	5.935773910361841672e+02
7.337920000000000300e+02	5.915579041940790148e+02
7.343490000000000464e+02	5.896042068256577977e+02
7.349070000000000391e+02	5.862601629660088065e+02
7.354640000000000555e+02	5.791880445449561421e+02
7.360209999999999582e+02	5.723527682291667134e+02
