Date and Time 1 = Tue Apr 1 15:38:22.551 2025
Software Version 1 = 4.31.30024.0
Temperature (C) 1 = -70
Model 1 = DU920P_OE
Data Type 1 = Counts (Bg Corrected)
Acquisition Mode 1 = Single Scan
Trigger Mode 1 = Internal
Exposure Time (secs) 1 = 2
Readout Mode 1 = Full Vertical Binning
Horizontal binning 1 = 1
Extended Dynamic Range 1 = off
Horizontally flipped 1 = false
Vertical Shift Speed (usecs) 1 = 12.9
Pixel Readout Rate (MHz) 1 = 0.05
Baseline Clamp 1 = OFF
Clock Amplitude 1 = Normal
Output Amplifier 1 = Conventional
Serial Number 1 = SR1278
Pre-Amplifier Gain 1 = 4x
Spurious Noise Filter Mode 1 = No Filter
Photon counted 1 = false
Data Averaging Filter Mode 1 = No Filter
SR303i 1 = 
Wavelength (nm) 1 = 599.985
Grating Groove Density (l/mm) 1 = 299.906
Grating Blaze 1 = 500
Output Flipper Port 1 = Direct
Input Side Slit Width (um) 1 = 200
Date and Time 2 = Tue Apr 1 15:35:51.890 2025
Software Version 2 = 4.31.30024.0
Temperature (C) 2 = -70
Model 2 = DU920P_OE
Data Type 2 = Counts (Bg Corrected)
Acquisition Mode 2 = Single Scan
Trigger Mode 2 = Internal
Exposure Time (secs) 2 = 2
Readout Mode 2 = Full Vertical Binning
Horizontal binning 2 = 1
Extended Dynamic Range 2 = off
Horizontally flipped 2 = false
Vertical Shift Speed (usecs) 2 = 12.9
Pixel Readout Rate (MHz) 2 = 0.05
Baseline Clamp 2 = OFF
Clock Amplitude 2 = Normal
Output Amplifier 2 = Conventional
Serial Number 2 = SR1278
Pre-Amplifier Gain 2 = 4x
Spurious Noise Filter Mode 2 = No Filter
Photon counted 2 = false
Data Averaging Filter Mode 2 = No Filter
SR303i 2 = 
Wavelength (nm) 2 = 800.005
Grating Groove Density (l/mm) 2 = 299.906
Grating Blaze 2 = 500
Output Flipper Port 2 = Direct
Input Side Slit Width (um) 2 = 200
Glued = True

Wavelength	Spectrumeter Counts
658.55231	3449.0
658.8266	3554.0
659.10083	3475.0
659.37506	3525.0
659.64929	3487.0
659.92352	3509.0
659.97406	3437.0
660.19775	3554.0
660.24921	3413.0
660.47198	3550.0
660.52429	3460.0
660.74622	3534.0
660.79944	3436.0
661.02039	3549.0
661.07452	3439.0
661.29462	3522.0
661.34961	3419.0
661.56879	3639.0
661.62476	3427.0
661.84296	3540.0
661.89984	3460.0
662.11719	3523.0
662.17493	3511.0
662.39136	3547.0
662.45001	3501.0
662.66547	3590.0
662.7251	3447.0
662.93964	3615.0
663.00018	3505.0
663.21381	3641.0
663.27527	3483.0
663.48792	3649.0
663.55035	3529.0
663.76208	3586.0
663.82544	3523.0
664.03619	3723.0
664.10052	3515.0
664.3103	3684.0
664.37555	3526.0
664.58441	3720.0
664.65063	3554.0
664.85852	3621.0
664.92572	3581.0
665.13263	3717.0
665.20074	3665.0
665.40674	3720.0
665.47583	3546.0
665.68079	3716.0
665.75085	3561.0
665.9549	3761.0
666.02588	3597.0
666.22894	3726.0
666.30096	3575.0
666.50299	3791.0
666.57599	3560.0
666.7771	3848.0
666.85101	3603.0
667.05115	3707.0
667.12604	3646.0
667.32513	3732.0
667.40112	3676.0
667.59918	3852.0
667.67615	3661.0
667.87323	3839.0
667.95117	3548.0
668.14722	3758.0
668.2262	3631.0
668.42126	3762.0
668.50122	3734.0
668.69525	3875.0
668.77618	3640.0
668.96924	3868.0
669.05121	3690.0
669.24323	3820.0
669.32623	3690.0
669.51721	3909.0
669.60126	3661.0
669.7912	3961.0
669.87622	3710.0
670.06519	3818.0
670.15125	3752.0
670.33911	3913.0
670.42621	3735.0
670.6131	3837.0
670.70123	3712.0
670.88702	3862.0
670.9762	3723.0
671.16095	3885.0
671.25122	3701.0
671.43488	3939.0
671.52618	3730.0
671.7088	3849.0
671.80115	3724.0
671.98273	3855.0
672.07611	3835.0
672.25665	3947.0
672.35107	3827.0
672.53052	3890.0
672.62604	3795.0
672.80444	3891.0
672.901	3809.0
673.07831	3956.0
673.17596	3749.0
673.35223	3974.0
673.45093	3785.0
673.6261	3938.0
